Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,class,stalk_height,cap_diameter
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,poisonous,14.27617297,5.054982923
1037,sunken,fibrous,red,no,anise,notched,crowded,narrow,chocolate,enlarging,rooted,silky,silky,cinnamon,brown,universal,brown,two,sheathing,brown,numerous,waste,edible,3.952714639,19.0683191
309,flat,grooves,purple,yes,foul,descending,crowded,broad,purple,tapering,cup,scaly,silky,yellow,gray,universal,yellow,two,sheathing,purple,abundant,waste,poisonous,9.054265313,7.205883714
282,bell,scaly,pink,yes,fishy,notched,close,broad,orange,enlarging,club,smooth,scaly,yellow,pink,partial,yellow,two,cobwebby,green,clustered,grasses,poisonous,5.226498695,20.93269176
820,flat,smooth,yellow,yes,musty,free,crowded,narrow,orange,enlarging,missing,fibrous,scaly,gray,white,universal,white,none,none,yellow,clustered,urban,poisonous,14.03753182,12.54524502
389,convex,grooves,pink,no,spicy,attached,crowded,broad,orange,enlarging,club,smooth,smooth,white,yellow,universal,white,one,sheathing,white,scattered,woods,poisonous,4.337043486,16.18933788
330,bell,smooth,brown,no,anise,free,distant,broad,buff,tapering,missing,scaly,smooth,red,red,partial,white,two,flaring,green,scattered,leaves,poisonous,12.70235895,24.66201529
98,conical,fibrous,white,yes,none,notched,close,narrow,black,tapering,equal,scaly,fibrous,yellow,brown,partial,brown,one,large,orange,several,woods,poisonous,11.9636904,19.40850625
597,conical,grooves,green,yes,pungent,attached,crowded,narrow,buff,tapering,club,silky,smooth,buff,pink,universal,yellow,two,evanescent,chocolate,solitary,woods,edible,14.27248994,13.26053663
16,convex,scaly,brown,yes,almond,attached,crowded,broad,red,tapering,bulbous,silky,scaly,buff,red,partial,white,none,zone,green,clustered,leaves,poisonous,11.84259749,4.216489289
243,convex,scaly,buff,yes,fishy,attached,close,broad,purple,enlarging,equal,fibrous,fibrous,red,orange,partial,yellow,none,flaring,green,abundant,urban,edible,3.762968599,2.710012089
621,bell,smooth,brown,yes,none,notched,distant,broad,black,tapering,cup,silky,fibrous,orange,orange,universal,brown,none,zone,purple,clustered,paths,poisonous,13.75032738,19.78480396
875,sunken,grooves,gray,yes,creosote,notched,crowded,narrow,green,enlarging,equal,fibrous,fibrous,brown,buff,partial,brown,none,zone,orange,solitary,leaves,poisonous,9.251979097,8.78047543
221,flat,smooth,buff,no,pungent,descending,distant,broad,brown,tapering,bulbous,fibrous,fibrous,brown,yellow,universal,brown,none,large,green,several,meadows,edible,2.961996712,4.027114691
1178,sunken,scaly,gray,yes,pungent,free,crowded,narrow,purple,enlarging,club,fibrous,fibrous,white,yellow,universal,white,none,large,black,abundant,grasses,edible,8.250044578,5.527331579
236,conical,grooves,white,yes,none,free,crowded,broad,yellow,enlarging,cup,smooth,silky,yellow,buff,partial,yellow,none,none,yellow,scattered,meadows,edible,3.68639733,14.02327914
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,poisonous,5.291008911,5.436304152
539,convex,scaly,green,yes,musty,attached,distant,broad,red,tapering,bulbous,scaly,silky,red,gray,universal,brown,two,large,black,several,woods,edible,11.95186307,9.709388585
1117,conical,grooves,yellow,yes,anise,attached,crowded,narrow,brown,tapering,missing,fibrous,silky,cinnamon,orange,universal,white,one,pendant,purple,scattered,urban,poisonous,8.79104375,2.959355921
857,sunken,smooth,gray,yes,anise,free,distant,broad,yellow,tapering,cup,silky,silky,yellow,pink,universal,brown,two,pendant,orange,solitary,leaves,poisonous,13.59609835,6.417736868
707,sunken,grooves,white,yes,musty,notched,crowded,broad,white,enlarging,cup,silky,fibrous,white,white,partial,brown,one,pendant,orange,numerous,meadows,poisonous,13.57209131,9.949050947
781,sunken,smooth,yellow,yes,almond,attached,distant,narrow,gray,tapering,equal,silky,fibrous,orange,buff,partial,brown,two,evanescent,black,several,paths,poisonous,8.68800754,12.12569435
140,convex,scaly,green,no,musty,attached,distant,broad,green,enlarging,missing,silky,silky,pink,cinnamon,universal,orange,one,zone,yellow,numerous,meadows,poisonous,8.091160821,9.777055304
910,sunken,fibrous,brown,yes,none,notched,crowded,broad,black,tapering,bulbous,smooth,fibrous,pink,gray,universal,orange,none,flaring,yellow,scattered,waste,poisonous,8.43665118,15.22818002
34,bell,fibrous,pink,yes,pungent,descending,crowded,narrow,yellow,enlarging,cup,silky,smooth,gray,yellow,universal,orange,one,cobwebby,buff,solitary,meadows,poisonous,5.79608432,23.85308782
1083,conical,grooves,red,yes,pungent,descending,close,narrow,brown,tapering,rhizomorphs,silky,scaly,orange,cinnamon,partial,orange,two,cobwebby,black,clustered,leaves,edible,11.56649675,1.155584227
50,bell,fibrous,brown,no,pungent,free,crowded,narrow,black,enlarging,bulbous,scaly,smooth,brown,orange,partial,yellow,one,evanescent,buff,clustered,paths,poisonous,6.200762712,8.899706658
552,convex,smooth,green,no,musty,descending,close,narrow,black,tapering,bulbous,smooth,smooth,brown,pink,partial,white,two,zone,green,several,meadows,poisonous,14.79148759,12.3275941
1154,bell,grooves,gray,yes,musty,notched,crowded,broad,chocolate,tapering,bulbous,fibrous,scaly,white,white,universal,brown,two,sheathing,buff,clustered,leaves,poisonous,3.846000185,22.78812616
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,edible,13.21400655,14.54917131
537,flat,smooth,red,no,musty,free,distant,narrow,chocolate,tapering,missing,smooth,smooth,brown,orange,universal,white,two,pendant,yellow,solitary,grasses,poisonous,3.189081707,8.00677818
277,convex,fibrous,red,yes,pungent,descending,close,broad,green,tapering,rhizomorphs,fibrous,silky,red,white,partial,white,two,zone,brown,several,urban,poisonous,7.865522129,17.76653536
109,convex,scaly,gray,no,foul,descending,distant,broad,pink,tapering,club,fibrous,fibrous,orange,cinnamon,universal,white,one,pendant,brown,solitary,meadows,edible,6.947248031,11.18790587
699,conical,fibrous,pink,no,creosote,attached,close,broad,orange,tapering,bulbous,scaly,smooth,orange,gray,partial,white,one,cobwebby,orange,several,urban,poisonous,10.4250167,5.365537598
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,poisonous,5.291008911,5.436304152
796,convex,smooth,buff,yes,anise,descending,crowded,broad,green,enlarging,cup,fibrous,silky,yellow,orange,partial,brown,none,cobwebby,buff,numerous,meadows,edible,10.57354282,10.3530627
737,conical,smooth,green,no,almond,free,distant,broad,purple,tapering,club,scaly,silky,red,gray,partial,yellow,two,evanescent,yellow,several,meadows,poisonous,4.594319887,10.14616395
20,bell,grooves,yellow,no,foul,notched,distant,broad,buff,tapering,bulbous,smooth,fibrous,brown,red,partial,white,two,zone,orange,abundant,waste,poisonous,4.85090697,19.44905947
497,sunken,fibrous,brown,yes,fishy,descending,distant,narrow,chocolate,enlarging,rhizomorphs,silky,scaly,cinnamon,pink,partial,white,two,none,black,abundant,grasses,poisonous,10.90581874,10.14136681
223,convex,smooth,purple,yes,creosote,notched,close,narrow,yellow,enlarging,club,fibrous,silky,pink,buff,partial,orange,two,sheathing,buff,numerous,urban,edible,8.17381121,4.98892986
810,bell,smooth,red,no,pungent,notched,close,narrow,chocolate,tapering,cup,smooth,scaly,orange,pink,partial,orange,one,sheathing,green,abundant,urban,edible,6.885290136,2.665529994
1043,convex,smooth,purple,yes,none,notched,distant,broad,orange,tapering,equal,smooth,smooth,orange,yellow,universal,brown,none,evanescent,black,solitary,urban,poisonous,5.960089465,16.62188376
94,conical,smooth,purple,yes,spicy,notched,close,narrow,green,enlarging,missing,silky,silky,gray,cinnamon,universal,white,two,flaring,black,clustered,woods,edible,12.49368466,14.55615212
782,bell,scaly,red,no,pungent,free,crowded,broad,chocolate,enlarging,bulbous,scaly,silky,white,yellow,universal,brown,one,evanescent,white,clustered,urban,edible,5.144241129,23.52151013
771,flat,fibrous,white,yes,spicy,free,crowded,broad,purple,tapering,missing,scaly,silky,white,yellow,partial,brown,one,sheathing,green,solitary,waste,poisonous,12.55968049,17.67990093
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,poisonous,4.746453008,10.76993476
764,bell,grooves,pink,no,anise,notched,crowded,broad,green,enlarging,club,scaly,smooth,yellow,brown,partial,yellow,two,flaring,buff,several,leaves,edible,13.95547016,1.825433879
1089,flat,scaly,purple,yes,almond,notched,crowded,narrow,chocolate,enlarging,rooted,fibrous,fibrous,brown,buff,universal,yellow,one,cobwebby,brown,several,woods,poisonous,4.114954907,10.59747485
453,sunken,smooth,pink,yes,anise,attached,distant,narrow,gray,tapering,equal,silky,scaly,white,orange,universal,yellow,one,pendant,green,scattered,waste,edible,12.32821463,23.03972695
965,conical,scaly,red,yes,pungent,free,distant,broad,purple,enlarging,cup,scaly,fibrous,pink,pink,partial,orange,one,large,white,numerous,woods,poisonous,10.94337594,12.67680922
